Image ID,Image name,Failed,Experiment number,circle ratio,x pixel,y pixel,xScale,yScale,stem diameter,avg. root density,#RTP,TD median,TD avg.,DD90 max.,median Width,max. Width,D10,D20,D30,D40,D50,D60,D70,D80,D90,DS10,DS20,DS30,DS40,DS50,DS60,DS70,DS80,DS90,rel. root mass X,rel. root mass Y,avg. lateral length,nodal root length,lateral branching freq.,avg. nodal root dia,lateral avg. angle,lateral angular range,lateral min. angle,lateral max. angle,dist. to 1st lateral,median lateral dia,mean lateral dia
18,IMG_2243,FALSE,-1,0.008333333,238,240,0.106722689,0.105833333,18.92014973,14.3520449,446,0.252773134,0.284517187,0.537860162,87.35252101,147.5441176,0.342357351,0.436068305,0.52061641,0.588921283,0.651395252,0.70970429,0.765097876,0.828404831,0.892961266,0.891443393,1.083458429,1.319937147,1.562186701,1.643935253,1.816288767,1.792037652,1.551757919,1.524113615,-1.96894179,-293.8154313,4.333043082,160.6923529,21.29577465,0.786115426,56.92201188,89.8652301,1.72E-12,89.8652301,1.169058123,0.212556022,0.23467756
19,IMG_2244,FALSE,-1,0.008368201,237,239,0.107172996,0.106276151,18.93960917,8.402246127,602,0.253835244,0.28391306,0.43341771,83.05907173,152.9894515,0.361928105,0.454248366,0.526143791,0.586601307,0.641339869,0.693218954,0.747140523,0.800653595,0.854575163,0.648140256,1.35555418,1.518193531,1.770725692,1.984611157,1.800006084,1.834898033,1.885694904,1.80778353,1.296276634,-296.4192568,14.30454668,179.297283,30.54545455,0.829779019,64.45868019,88.65823802,0.356503288,89.01474131,5.33622866,0.213449146,0.250507024
20,IMG_2245,FALSE,-1,0.004166667,239,240,0.106276151,0.105833333,16.74087886,17.94270154,576,0.252242107,0.287663941,0.436896146,106.4355649,190.9782427,0.418528864,0.511173184,0.584264432,0.647113594,0.701582868,0.753258845,0.806331471,0.865456238,0.926908752,0.891355658,1.24272753,1.502074672,1.692989726,1.937965965,1.800445336,1.974610602,1.576000373,1.685228727,-2.526326424,-265.8457335,18.81195085,177.8538023,24.66176471,0.715627072,63.0253304,89.86830351,1.17E-12,89.86830351,3.393751743,0.212109484,0.238285055
21,IMG_2246,FALSE,-1,0.004166667,239,240,0.106276151,0.105833333,16.77487757,5.921776864,524,0.252242107,0.284902401,0.436896146,78.21924686,179.8723849,0.452971455,0.551708002,0.630322883,0.6939635,0.747309312,0.796911558,0.842302293,0.890968648,0.943378568,0.835645181,1.107749541,1.467538411,1.745148964,1.988247339,2.122387114,2.106337057,2.086056742,1.905526046,-0.532451113,-271.8704559,15.53019042,185.807908,24,0.757333326,59.79701237,89.5469241,0.447962779,89.99488688,0.424218968,0.252242107,0.247040471
22,IMG_2247,FALSE,-1,0.008333333,238,240,0.106722689,0.105833333,19.50653551,4.618782825,618,0.252773134,0.287204536,0.357475195,57.42431066,192.7411765,0.289526351,0.36724483,0.427951968,0.482988659,0.534022682,0.579719813,0.625083389,0.675116744,0.733488993,0.885177106,1.593665135,1.721646172,1.832782985,2.077400301,2.280857956,2.180311121,1.785322898,1.689180347,-8.673195749,-328.1202342,2.70600167,109.2537955,114.2222222,1.078234146,64.55620007,57.47583625,29.12985462,86.60569087,1.700448179,0.212556022,0.279954363
23,IMG_2248,FALSE,-1,0.012448133,238,241,0.106722689,0.105394191,18.1114436,5.015016099,582,0.252250903,0.280897287,0.402773667,19.42384208,172.8907563,0.311207472,0.367911941,0.420947298,0.465643763,0.509673115,0.551701134,0.595730487,0.643095397,0.693462308,1.394174012,1.790348693,2.179887729,2.242806654,2.34740618,2.482418814,2.226239392,2.015715176,1.74894752,7.416702821,-332.8239952,4.121127953,115.0734074,217,1.108118577,53.23005053,84.65064572,0.729089964,85.37973568,1.80299348,0.252250903,0.298836173
29,IMG_2254,FALSE,-1,0,240,240,0.105833333,0.105833333,18.33030278,4.986368077,711,0.251715506,0.286444766,0.401918789,96.41415375,192.5108333,0.372052094,0.471664907,0.548398451,0.61281239,0.669834565,0.72157691,0.771207321,0.820133756,0.868004224,0.494607637,1.299105928,1.393742719,1.682220389,1.85288956,1.991429567,2.05031559,1.983024106,2.127855193,-12.53332891,-330.8696073,17.62970197,169.8625,22.92857143,0.65832456,51.48804115,89.75838753,7.25E-13,89.75838753,1.164166667,0.211666667,0.236517244
30,IMG_2255,FALSE,-1,0.004201681,237,238,0.107172996,0.106722689,18.22152835,12.06921677,478,0.25436627,0.29529206,0.478285291,97.42107737,184.8734177,0.385207354,0.487387773,0.566053869,0.632749038,0.693458743,0.748610517,0.802907225,0.852501069,0.905515177,0.730332252,1.072918358,1.378124865,1.547406487,1.789982237,1.792135753,1.940773768,2.064319226,1.450142419,1.317420492,-289.782416,22.04796614,182.1321757,131,1.450835359,46.65524517,76.30736297,12.31356205,88.62092503,5.240444279,0.25436627,0.308619204
31,IMG_2256,FALSE,-1,0.008368201,237,239,0.107172996,0.106276151,19.26440324,4.566851106,597,0.301862678,0.30056497,0.358977244,97.31308017,192.1075949,0.41942324,0.521628499,0.589058524,0.650975403,0.707803223,0.763782867,0.816369805,0.86726039,0.920271416,0.663673433,1.418522623,1.641515794,1.609164954,1.740303599,1.872739078,1.937519419,1.964991848,1.814034811,-6.871678759,-296.9897708,11.09935561,174.4946772,125.7692308,1.530642029,48.02057194,85.76042875,3.724643092,89.48507184,5.442953233,0.253835244,0.297100469
32,IMG_2257,FALSE,-1,0.004149378,240,241,0.105833333,0.105394191,17.89971369,5.360939631,519,0.251193275,0.283343483,0.401084932,95.06479167,191.7170833,0.363355238,0.47004252,0.546192501,0.614224971,0.679551604,0.737533823,0.791264012,0.842674913,0.892926169,0.729558655,1.147266014,1.619830521,1.46011549,1.611674933,1.805056602,1.962817132,1.893535617,2.117064018,12.64958387,-300.0262155,2.245963549,169.9325432,28.73214286,0.832452904,60.15476313,89.90366019,8.33E-13,89.90366019,4.54139177,0.211227524,0.246073626
